初心塾合气道(本部道场), 东四西大街弓箭大院AB座青年酒店地下2层(东四地铁站D口G口), 科教文化服务;培训机构;培训机构, 116.410507,39.922297, 116.416746,39.923697, 116.423151,39.929914
小学初中高中教师一对一, 和平里七区33号楼底商, 科教文化服务;培训机构;培训机构, 116.416763,39.960613, 116.423000,39.962010, 116.429459,39.968136
龙文学校教师1对1小初高各科辅导, 民旺园32号, 科教文化服务;培训机构;培训机构, 116.420429,39.951884, 116.426660,39.953277, 116.433133,39.959336
北京佳信瑞初商务服务有限公司, 金鱼池西区5号楼103室, 公司企业;公司企业;公司企业, 116.399917,39.889221, 116.406158,39.890624, 116.412553,39.896958
北京市第一六六中学(初中部), 东四六条甲44, 科教文化服务;学校;中学, 116.415237,39.928352, 116.421472,39.929749, 116.427901,39.935893
前门派出所, 草厂九条8, 政府机构及社会团体;公检法机构;公安警察, 116.402912,39.895150, 116.409153,39.896553, 116.415550,39.902864
再出发, 幸福家园3-7, 医疗保健服务;医药保健销售店;医疗保健用品, 116.424181,39.891870, 116.430399,39.893256, 116.436908,39.899251
东四派出所, 东四四条77, 政府机构及社会团体;公检法机构;公安警察, 116.414002,39.926070, 116.420238,39.927468, 116.426661,39.933632
龙潭派出所, 光明西街3号, 政府机构及社会团体;公检法机构;公安警察, 116.428752,39.884377, 116.434961,39.885757, 116.441505,39.891672
天坛派出所, 珠市口东大街甲18, 政府机构及社会团体;公检法机构;公安警察, 116.397351,39.889475, 116.403592,39.890878, 116.409983,39.897224
日出东方客栈, 磁器库胡同2, 住宿服务;旅馆招待所;旅馆招待所, 116.399681,39.912028, 116.405925,39.913432, 116.412299,39.919760
人民出版社, 东四隆福寺街99号, 科教文化服务;传媒机构;出版社, 116.406965,39.924101, 116.413207,39.925503, 116.419596,39.931766
出租汽车, 广渠门外马圈1号, 汽车服务;汽车租赁;汽车租赁, 116.439614,39.893402, 116.445800,39.894764, 116.452393,39.900509
有熊出没, 交道口, 购物服务;专卖店;礼品饰品店, 116.397097,39.938612, 116.403345,39.940017, 116.409711,39.946355
北新桥派出所, 西羊管胡同, 政府机构及社会团体;公检法机构;公安警察, 116.420363,39.941090, 116.426593,39.942483, 116.433057,39.948540
景山派出所, 什锦花园33号, 政府机构及社会团体;公检法机构;公安警察, 116.406802,39.929049, 116.413045,39.930452, 116.419433,39.936716
北京站派出所, 盔甲厂胡同甲4, 政府机构及社会团体;公检法机构;公安警察, 116.426614,39.901622, 116.432829,39.903005, 116.439344,39.908952
交道口派出所, 板厂胡同7号, 政府机构及社会团体;公检法机构;公安警察, 116.401152,39.933623, 116.407398,39.935028, 116.413769,39.941345
东直门派出所, 新中街9, 政府机构及社会团体;公检法机构;公安警察, 116.432767,39.937059, 116.438975,39.938435, 116.445512,39.944271
故宫派出所, 景山前街4号, 政府机构及社会团体;公检法机构;公安警察, 116.393520,39.920807, 116.399766,39.922211, 116.406129,39.928554
东二环出口（南向）, 东城区, 地名地址信息;交通地名;城市快速路出口, 116.429701,39.903892, 116.435910,39.905271, 116.442441,39.911163
演出服装出租, 安定路20号安圣苑2号楼9楼904室(近北三环安贞桥), 生活服务;生活服务场所;生活服务场所, 116.401968,39.971916, 116.408219,39.973322, 116.414622,39.979644
北京南站派出所, 永定门外彭庄37号, 政府机构及社会团体;公检法机构;公安警察, 116.379915,39.866785, 116.386148,39.868181, 116.392577,39.874449
和平里派出所, 和平里六区5, 政府机构及社会团体;公检法机构;公安警察, 116.417288,39.955009, 116.423524,39.956405, 116.429981,39.962520
东花市派出所, 东花市北里西区2号楼, 政府机构及社会团体;公检法机构;公安警察, 116.425404,39.897893, 116.431621,39.899278, 116.438132,39.905249
安外大街派出所, 地坛公园西门外地坛医院对面, 政府机构及社会团体;公检法机构;公安警察, 116.406089,39.951758, 116.412335,39.953162, 116.418733,39.959439
辅路出口, 永定门外, 交通设施服务;交通服务相关;交通服务相关, 116.400262,39.870508, 116.406500,39.871910, 116.412906,39.878246
前门出口, 永定门西街9附近, 交通设施服务;交通服务相关;交通服务相关, 116.387032,39.869985, 116.393270,39.871385, 116.399677,39.877719
洋桥出口, 陶然桥附近, 交通设施服务;交通服务相关;交通服务相关, 116.379207,39.869711, 116.385440,39.871107, 116.391872,39.877366
洋桥出口, 永外车站路6-3附近, 交通设施服务;交通服务相关;交通服务相关, 116.375421,39.869262, 116.381650,39.870655, 116.388100,39.876861
前门大街派出所, 长巷二条1, 政府机构及社会团体;公检法机构;公安警察, 116.394968,39.896953, 116.401211,39.898357, 116.407593,39.904706
中山公园派出所, 中华路4号, 政府机构及社会团体;公检法机构;公安警察, 116.389754,39.907373, 116.395997,39.908776, 116.402372,39.915115
东华门派出所, 锡拉胡同8, 政府机构及社会团体;公检法机构;公安警察, 116.403737,39.914865, 116.409980,39.916268, 116.416362,39.922566
安定门派出所, 豆腐池胡同11, 政府机构及社会团体;公检法机构;公安警察, 116.392141,39.942678, 116.398389,39.944083, 116.404756,39.950426
磁器口出口, 广渠门桥附近, 交通设施服务;交通服务相关;交通服务相关, 116.438010,39.893613, 116.444200,39.894978, 116.450786,39.900743
双井桥出口, 广渠门桥和东二环的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.438371,39.890026, 116.444560,39.891390, 116.451151,39.897152
景泰路出口, 南二环和南二环出口的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.395221,39.870323, 116.401460,39.871725, 116.407860,39.878080
太平街出口, 陶然桥和南二环松林街出口的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.383274,39.869795, 116.389510,39.871194, 116.395927,39.877498
出租车上下客站, 毛家湾胡同甲13号附近, 交通设施服务;交通服务相关;交通服务相关, 116.421891,39.903297, 116.428114,39.904686, 116.434598,39.910719
地安门出口, 北二环鼓楼外大街出口和北二环的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.394361,39.947678, 116.400610,39.949084, 116.406980,39.955430
蒋宅口出口, 北二环安定门外大街出口和北二环的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.405464,39.947792, 116.411710,39.949196, 116.418102,39.955478
北新桥出口, 安定门东大街65附近, 交通设施服务;交通服务相关;交通服务相关, 116.406355,39.947685, 116.412600,39.949088, 116.418995,39.955360
永外派出所, 永定门外大街88号, 政府机构及社会团体;公检法机构;公安警察, 116.394372,39.865307, 116.400611,39.866709, 116.407010,39.873064
王府井派出所, 王府井菜厂胡同5号, 政府机构及社会团体;公检法机构;公安警察, 116.403253,39.913249, 116.409496,39.914652, 116.415878,39.920954
地安门派出所, 旧鼓楼大街188, 政府机构及社会团体;公检法机构;公安警察, 116.388127,39.939944, 116.394374,39.941348, 116.400744,39.947677
北京市公安局出入境接待大厅, 安定门东大街2号, 政府机构及社会团体;公检法机构;公安警察, 116.421138,39.947497, 116.427368,39.948889, 116.433841,39.954933
建国门站派出所, 地铁建国门站西北口, 政府机构及社会团体;公检法机构;公安警察, 116.428166,39.907750, 116.434379,39.909131, 116.440898,39.915049
北京站出口（东二环出口南向）, 东城区, 地名地址信息;交通地名;城市快速路出口, 116.429641,39.904003, 116.435851,39.905382, 116.442382,39.911275
出租车上下客站, 王府井大街301附近, 交通设施服务;交通服务相关;交通服务相关, 116.404821,39.909064, 116.411062,39.910467, 116.417452,39.916756
出云娱乐城, 朝内大街166号, 体育休闲服务;娱乐场所;娱乐场所, 116.419160,39.922655, 116.425389,39.924048, 116.431842,39.930125
出租车上下客站, 东直门南大街1-2附近, 交通设施服务;交通服务相关;交通服务相关, 116.426562,39.938178, 116.432782,39.939563, 116.439283,39.945507
东直门桥出口, 东二环东直门北大街出口和东二环的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.427160,39.946894, 116.433380,39.948278, 116.439890,39.954213
首汽出租车, 交道口东大街2号楼, 汽车服务;汽车租赁;汽车租赁, 116.406336,39.939427, 116.412580,39.940830, 116.418969,39.947101
出租车上下客站, 王府井西街16附近, 交通设施服务;交通服务相关;交通服务相关, 116.402554,39.911536, 116.408797,39.912939, 116.415178,39.919248
中国演出家协会, 北京工人体育馆, 政府机构及社会团体;社会团体;行业协会, 116.436007,39.930356, 116.442207,39.931726, 116.448760,39.937511
日出茶太(APM店), 王府井大街138号北京APM5层536号洪师父牛肉面内, 餐饮服务;甜品店;甜品店, 116.406503,39.913689, 116.412744,39.915091, 116.419136,39.921361
日出茶太, 崇文门外大街18国瑞购物中心B1层, 餐饮服务;冷饮店;冷饮店, 116.413542,39.896907, 116.419775,39.898304, 116.426216,39.904483
东交民巷派出所, 东交民巷1号, 政府机构及社会团体;公检法机构;公安警察, 116.408036,39.901140, 116.414274,39.902541, 116.420684,39.908796
永定门东街出口, 永定门东滨河路和南二环出口的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.396511,39.870533, 116.402750,39.871935, 116.409150,39.878287
右安门东街出口, 南二环和南二环松林街入口的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.391211,39.870297, 116.397450,39.871699, 116.403850,39.878052
东四十条桥出口, 东二环朝阳门北大街出口和东二环的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.428084,39.929103, 116.434300,39.930486, 116.440808,39.936402
永定门西街出口, 南二环附近, 交通设施服务;交通服务相关;交通服务相关, 116.385453,39.870059, 116.391690,39.871459, 116.398100,39.877782
和平里西街出口, 安定门东大街32附近, 交通设施服务;交通服务相关;交通服务相关, 116.413751,39.948081, 116.419990,39.949480, 116.426420,39.955651
和平里东街出口, 安定门东大街22附近, 交通设施服务;交通服务相关;交通服务相关, 116.415413,39.948012, 116.421650,39.949410, 116.428089,39.955554
中国进出口银行(北京分行), 北河沿大街77, 金融保险服务;银行;中国进出口银行, 116.399155,39.927082, 116.405401,39.928487, 116.411767,39.934816
小黄庄北街出口, 北三环中路和北三环东路的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.403400,39.967479, 116.409650,39.968884, 116.416054,39.975193
陶然桥出口（陶然桥西向）, 东城区, 地名地址信息;交通地名;城市快速路出口, 116.384694,39.870104, 116.390930,39.871503, 116.397342,39.877820
中国对外演出公司, 东四十条甲25号嘉诚有树, 公司企业;公司;公司, 116.423227,39.932822, 116.429452,39.934211, 116.435930,39.940215
北京市公安局东城分局出入境接待大厅, 金宝街52, 政府机构及社会团体;公检法机构;公安警察, 116.419860,39.913822, 116.426087,39.915214, 116.432549,39.921280
飞宇出租汽车, 板厂南里2号, 汽车服务;汽车租赁;汽车租赁, 116.436664,39.884150, 116.442856,39.885517, 116.449444,39.891304
建国门内大街出口, 东二环附近, 交通设施服务;交通服务相关;交通服务相关, 116.429309,39.909717, 116.435520,39.911097, 116.442044,39.916994
广渠门外大街出口, 广渠门北里和广渠门桥的交叉口附近, 交通设施服务;交通服务相关;交通服务相关, 116.436817,39.894729, 116.443010,39.896096, 116.449589,39.901877
安定门内大街出口, 安定门西大街21附近, 交通设施服务;交通服务相关;交通服务相关, 116.397331,39.947581, 116.403580,39.948987, 116.409952,39.955327
国贸桥出口（建国门桥南向）, 东城区, 地名地址信息;交通地名;城市快速路出口, 116.429102,39.905860, 116.435313,39.907240, 116.441839,39.913142
左安漪园社区来京人员出租房屋服务站, 左安门内大街附近, 政府机构及社会团体;公检法机构;社会治安机构, 116.435086,39.873129, 116.441280,39.874498, 116.447865,39.880310
隆福寺街派出所, 隆福寺街99号隆福广场地下商城B座, 政府机构及社会团体;公检法机构;公安警察, 116.407894,39.923770, 116.414135,39.925172, 116.420528,39.931424
易达出行(打车), 广渠门南小街3号领航国际3号楼1单元601室, 生活服务;生活服务场所;生活服务场所, 116.434482,39.891519, 116.440680,39.892890, 116.447250,39.898707
中国医药保健品进出口商会, 南竹杆胡同6号北京INN3号楼11层, 政府机构及社会团体;社会团体;行业协会, 116.425373,39.920272, 116.431592,39.921658, 116.438085,39.927623
衣橱, 东打磨厂街, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.408903,39.897979, 116.415140,39.899379, 116.421557,39.905624
小满意大衣橱, 南锣鼓巷110号(板厂胡同口), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.397003,39.933303, 116.403250,39.934708, 116.409614,39.941046
乐雅衣橱, 东四北大街24, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.410823,39.938257, 116.417064,39.939658, 116.423472,39.945871
四傻丸子私家衣橱, 安定门内大街135-2号(近国子监街), 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.402023,39.943949, 116.408270,39.945354, 116.414648,39.951666
龙安胜达整体橱柜, 交道口南大街43, 购物服务;家居建材市场;厨卫市场, 116.402175,39.936588, 116.408421,39.937993, 116.414795,39.944303
完美衣橱十人九品, 安定门内大街60号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.402255,39.945745, 116.408502,39.947150, 116.414882,39.953461
德国博德宝橱柜(中国)有限公司北京代表处, 东长安街1号东方广场东方经贸城西三办公楼5层12室, 公司企业;公司企业;公司企业, 116.408311,39.908425, 116.414550,39.909826, 116.420954,39.916076
德国瓦伦多夫橱柜北京展厅, 金宝街临9号, 购物服务;家居建材市场;厨卫市场, 116.416000,39.914306, 116.422232,39.915702, 116.428671,39.921835
神厨, 天坛东里2号, 风景名胜;风景名胜;风景名胜, 116.410589,39.883164, 116.416823,39.884562, 116.423261,39.890789
祖母的厨房, 石雀胡同28, 餐饮服务;外国餐厅;美式风味, 116.411597,39.938676, 116.417837,39.940076, 116.424249,39.946278
汤厨, 五道营胡同29号(近雍和宫), 餐饮服务;中餐厅;中餐厅, 116.407956,39.947133, 116.414200,39.948536, 116.420601,39.954789
时尚小厨, 建国门内大街18号恒基中心商城2层, 餐饮服务;中餐厅;广东菜(粤菜), 116.421864,39.905646, 116.428087,39.907035, 116.434568,39.913068
时尚厨房, 建国门内大街18号恒基商城2层023, 餐饮服务;中餐厅;中餐厅, 116.421861,39.905474, 116.428084,39.906863, 116.434565,39.912896
胡椒厨房, 东直门外大街48号, 餐饮服务;中餐厅;中餐厅, 116.429413,39.938811, 116.435627,39.940192, 116.442146,39.946085
逅泰厨, 南锣鼓巷117号(近雨儿胡同), 餐饮服务;外国餐厅;泰国/越南菜品餐厅, 116.396841,39.934118, 116.403088,39.935523, 116.409452,39.941861
玉厨房, 外交部街甲46-5号, 餐饮服务;中餐厅;火锅店, 116.413155,39.911362, 116.419390,39.912760, 116.425815,39.918940
主食厨房(车辇店胡同), 安定门内大街, 餐饮服务;餐饮相关场所;餐饮相关, 116.401580,39.943992, 116.407827,39.945397, 116.414204,39.951713
爵士小厨, 东直门南大街1号来福士购物中心B1楼, 餐饮服务;快餐厅;快餐厅, 116.426570,39.939205, 116.432790,39.940590, 116.439291,39.946534
港式小厨, 朝阳北路丽景园6号楼底商108号, 餐饮服务;餐饮相关场所;餐饮相关, 116.417946,39.943351, 116.424180,39.944746, 116.430630,39.950846
主食厨房, 东大地街60号, 餐饮服务;餐饮相关场所;餐饮相关, 116.420227,39.892558, 116.426451,39.893949, 116.432935,39.900016
主食厨房, 广渠门内大街25号东花商街, 餐饮服务;餐饮相关场所;餐饮相关, 116.437588,39.898837, 116.443780,39.900203, 116.450359,39.905972
皇家厨房, 金鱼胡同18号, 餐饮服务;中餐厅;中餐厅, 116.408370,39.913764, 116.414610,39.915165, 116.421010,39.921412
有机厨坊, 王府井步行街88号乐天银泰百货B1层, 餐饮服务;中餐厅;中餐厅, 116.405490,39.914965, 116.411732,39.916368, 116.418120,39.922648
美亚厨具, 王府井步行街88号乐天银泰百货6层, 购物服务;家居建材市场;厨卫市场, 116.405525,39.914991, 116.411767,39.916394, 116.418155,39.922674
方太厨具, 广渠门内大街新裕家园, 购物服务;家居建材市场;厨卫市场, 116.413107,39.889224, 116.419339,39.890621, 116.425785,39.896809
亚洲厨房(北京店), 建国门内大街17号好苑建国酒店, 餐饮服务;中餐厅;中餐厅, 116.417136,39.908261, 116.423366,39.909655, 116.429816,39.915771
江南小厨, 交道口东大街111号, 餐饮服务;中餐厅;广东菜(粤菜), 116.404281,39.939976, 116.410527,39.941380, 116.416909,39.947672
玲珑小厨, 东打磨厂街7号新世界女子百货B1层, 餐饮服务;中餐厅;中餐厅, 116.406768,39.897996, 116.413007,39.899397, 116.419415,39.905669
金盛福主食厨房(来福士店), 东直门南大街1号来福士购物中心内(近东直门地铁站), 餐饮服务;中餐厅;中餐厅, 116.426009,39.939094, 116.432230,39.940480, 116.438728,39.946434
010御家厨房, 北三环东路36号环球贸易中心3层, 餐饮服务;中餐厅;广东菜(粤菜), 116.404097,39.966831, 116.410346,39.968236, 116.416751,39.974538
桃米小厨, 南竹竿胡同2号银河soho D座b1层5-125, 餐饮服务;中餐厅;中餐厅, 116.426262,39.919595, 116.432480,39.920980, 116.438979,39.926929
曦友小厨, 细管胡同(近北京第五中学), 餐饮服务;中餐厅;西北菜, 116.406316,39.935727, 116.412560,39.937130, 116.418948,39.943400
元恭府湘厨, 南竹杆胡同6号北京INN3号楼2层202, 餐饮服务;中餐厅;湖南菜(湘菜), 116.425377,39.920275, 116.431596,39.921661, 116.438089,39.927626
黑芝麻厨房, 黑芝麻胡同3号, 餐饮服务;中餐厅;中餐厅, 116.394667,39.937481, 116.400915,39.938886, 116.407278,39.945229
串嘟厨房, 东单北大街东堂子胡同48号(近协和医院), 餐饮服务;中餐厅;中餐厅, 116.412600,39.912885, 116.418836,39.914283, 116.425257,39.920471
IN巷小厨, 南锣鼓巷20号, 餐饮服务;中餐厅;中餐厅, 116.397235,39.938285, 116.403483,39.939690, 116.409849,39.946028
如家后厨, 新开路胡同90号(近东单北大街), 餐饮服务;中餐厅;北京菜, 116.413888,39.910071, 116.420122,39.911468, 116.426552,39.917637
私房小厨(北京市百货大楼), 王府井大街255号B1层, 餐饮服务;糕饼店;糕饼店, 116.404096,39.912504, 116.410338,39.913907, 116.416723,39.920202
渝洲小厨, 东水井胡同5号楼, 餐饮服务;中餐厅;四川菜(川菜), 116.425528,39.921293, 116.431747,39.922679, 116.438240,39.928641
沁心小厨, 和平里青年沟西路(煤炭大厦西侧), 餐饮服务;餐饮相关场所;餐饮相关, 116.418774,39.960793, 116.425009,39.962188, 116.431480,39.968279
细园私家厨房, 东棉花胡同40号, 餐饮服务;中餐厅;中餐厅, 116.397133,39.934168, 116.403380,39.935573, 116.409744,39.941911
大米厨房, 旧鼓楼汤公胡同口, 餐饮服务;中餐厅;中餐厅, 116.388993,39.941396, 116.395240,39.942800, 116.401609,39.949133
北贝厨房, 新中街11号建工党校南侧底商(近银座商场), 餐饮服务;快餐厅;快餐厅, 116.432702,39.936504, 116.438910,39.937880, 116.445447,39.943717
台北小厨, 灯市口本司胡同, 餐饮服务;中餐厅;中餐厅, 116.411794,39.918265, 116.418031,39.919664, 116.424445,39.925863
神厨, 东城区, 风景名胜;风景名胜;风景名胜, 116.409581,39.876018, 116.415815,39.877417, 116.422252,39.883659
全心斋休闲小厨, 崇文门外大街44-1号, 餐饮服务;中餐厅;火锅店, 116.412847,39.894533, 116.419080,39.895930, 116.425519,39.902120
天下小厨, 南锣鼓巷147号, 餐饮服务;中餐厅;中餐厅, 116.396818,39.933353, 116.403065,39.934758, 116.409428,39.941096
乔家小厨, 和平里七区甲23号楼(近国林宾馆、兴安宾馆), 餐饮服务;中餐厅;东北菜, 116.414360,39.960051, 116.420600,39.961450, 116.427045,39.967616
辣家私厨, 和平里北街兴化西里4号楼商铺-1号(和平里医院斜对面), 餐饮服务;中餐厅;四川菜(川菜), 116.406440,39.958093, 116.412687,39.959497, 116.419092,39.965772
世家厨艺, 光明路15-1号, 餐饮服务;中餐厅;北京菜, 116.428672,39.883124, 116.434881,39.884504, 116.441425,39.890420
川湘小厨(安乐林路店), 安乐林路43-8号(近蒲黄榆地铁), 餐饮服务;中餐厅;中餐厅, 116.407336,39.864031, 116.413570,39.865430, 116.419998,39.871701
胡同小厨餐馆, 鼓楼东大街后鼓楼苑胡同口, 餐饮服务;中餐厅;中餐厅, 116.396071,39.939564, 116.402319,39.940969, 116.408684,39.947310
私房小厨(国瑞城店), 崇文门外大街18号国瑞购物中心B1楼(近西花市大街), 购物服务;超级市场;超市, 116.413053,39.896547, 116.419286,39.897944, 116.425724,39.904131
江湖小厨, 东四南大街报房胡同48号, 餐饮服务;中餐厅;中餐厅, 116.408970,39.920436, 116.415210,39.921837, 116.421609,39.928075
朋坐西厨堂, 五道营胡同59, 餐饮服务;外国餐厅;外国餐厅, 116.406289,39.947091, 116.412534,39.948494, 116.418928,39.954767
老妈厨房私房菜(广渠门店), 广渠门内大街80号通正国际大厦1楼(近幸福大街北口), 餐饮服务;中餐厅;中餐厅, 116.422670,39.891842, 116.428890,39.893230, 116.435390,39.899253
府上湘厨(国瑞购物中心), 崇文门外大街18号F3层, 餐饮服务;中餐厅;中餐厅, 116.413357,39.896799, 116.419590,39.898196, 116.426030,39.904378
渝湘家厨(龙潭北里三条), 龙潭北里三条9号, 餐饮服务;中餐厅;中餐厅, 116.431783,39.882163, 116.437986,39.883538, 116.444549,39.889401
WMF厨具(乐天银泰百货店), 王府井步行街88号乐天银泰百货6层, 购物服务;购物相关场所;购物相关场所, 116.405503,39.914975, 116.411745,39.916378, 116.418133,39.922658
有机厨房(乐天银泰店), 王府井大街88号乐天银泰百货B1层(近王府井教堂), 购物服务;家居建材市场;厨卫市场, 116.405293,39.914299, 116.411535,39.915702, 116.417923,39.921985
马里的厨房, 东皇城根南街, 餐饮服务;快餐厅;快餐厅, 116.400896,39.917766, 116.407140,39.919170, 116.413513,39.925490
私房小厨(前门台湾会馆店), 前门大街地B1楼3号, 餐饮服务;中餐厅;中餐厅, 116.411908,39.881797, 116.418141,39.883194, 116.424586,39.889402
王府井主食厨房, 王府井大街255号王府井百货大楼路南(王府井派出所西侧), 餐饮服务;中餐厅;中餐厅, 116.403462,39.913251, 116.409705,39.914654, 116.416087,39.920955
蓝宝蜀乡家厨, 安贞苑, 餐饮服务;中餐厅;四川菜(川菜), 116.404448,39.969856, 116.410697,39.971261, 116.417106,39.977560
老奶奶创意厨房, 地安门外大街方砖厂胡同6号院(近南锣鼓巷), 餐饮服务;中餐厅;中餐厅, 116.392792,39.936801, 116.399040,39.938206, 116.405403,39.944549
主食厨房(横街), 横街6号, 餐饮服务;餐饮相关场所;餐饮相关, 116.415415,39.935686, 116.421651,39.937083, 116.428083,39.943225
宝祥主食厨房, 东直门内北小街乙432号, 餐饮服务;中餐厅;中餐厅, 116.419165,39.943162, 116.425397,39.944556, 116.431855,39.950635
甜纳西小厨, 石雀胡同内(近地铁5号线北新桥站), 餐饮服务;外国餐厅;外国餐厅, 116.413032,39.938739, 116.419271,39.940138, 116.425691,39.946318
康宁厨具(王府井百货店), 王府井大街255号王府井百货, 购物服务;家居建材市场;厨卫市场, 116.404458,39.912407, 116.410700,39.913810, 116.417086,39.920102
夹捡成厨(国瑞购物中心), 崇文门外大街18号G层, 餐饮服务;快餐厅;快餐厅, 116.412974,39.896346, 116.419207,39.897743, 116.425645,39.903931
胡椒厨房(工美大厦店), 王府井大街200号工美大厦B1层, 餐饮服务;外国餐厅;西餐厅(综合风味), 116.405534,39.909477, 116.411775,39.910879, 116.418167,39.917160
老高的厨房, 炮局头条29号(歌华大厦), 餐饮服务;外国餐厅;意式菜品餐厅, 116.414302,39.946102, 116.420540,39.947500, 116.426972,39.953662
一绝小厨总店, 朝内南小街(秦唐府北侧), 餐饮服务;快餐厅;快餐厅, 116.419972,39.918406, 116.426200,39.919798, 116.432660,39.925861
夹拣成厨麻辣烫(国瑞城店), 崇外大街18号国瑞购物中心A座B1层, 餐饮服务;中餐厅;中餐厅, 116.413097,39.896103, 116.419330,39.897500, 116.425769,39.903686
渝州家厨(帽儿胡同), 帽儿胡同41号, 餐饮服务;中餐厅;中餐厅, 116.392602,39.935091, 116.398849,39.936496, 116.405212,39.942838
主食厨房(文化宫写字楼东), 南池子大街69, 餐饮服务;餐饮相关场所;餐饮相关, 116.396587,39.910353, 116.402831,39.911757, 116.409202,39.918099
胡椒厨房(银座百货), 东直门外大街48号B1层B116d, 餐饮服务;外国餐厅;外国餐厅, 116.429380,39.938466, 116.435594,39.939847, 116.442112,39.945740
主食厨房(民主北街), 琉璃井路49号, 餐饮服务;餐饮相关场所;餐饮相关, 116.396362,39.864732, 116.402600,39.866134, 116.409000,39.872486
福建主食厨房, 朝阳门南小街菜市场, 餐饮服务;餐饮相关场所;餐饮相关, 116.421276,39.913009, 116.427501,39.914399, 116.433972,39.920440
德连圆主食厨房, 北新桥三条57-1, 餐饮服务;中餐厅;中餐厅, 116.413502,39.941903, 116.419741,39.943302, 116.426165,39.949476
奕茗私家厨房, 东直门内大街215号, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.413922,39.939749, 116.420160,39.941147, 116.426585,39.947314
私房小厨(王府井百货大楼店), 王府井大街255号王府井百货大楼B1楼, 购物服务;超级市场;超市, 116.405288,39.912138, 116.411530,39.913540, 116.417919,39.919823
慧翠小厨(恒基商城), 建国门内大街18号B1层, 餐饮服务;中餐厅;中餐厅, 116.421438,39.905659, 116.427662,39.907049, 116.434141,39.913089
渝家小厨菜馆, 礼士胡同51号, 餐饮服务;中餐厅;中餐厅, 116.416858,39.920688, 116.423090,39.922083, 116.429530,39.928201
MR.G厨房, 王府井百货大楼7楼美食城内, 购物服务;家居建材市场;厨卫市场, 116.404378,39.912117, 116.410620,39.913520, 116.417006,39.919812
煌厨渝粤美食, 王府井大街27号北京社科博源宾馆, 餐饮服务;中餐厅;广东菜(粤菜), 116.404262,39.921291, 116.410505,39.922694, 116.416885,39.928986
私房小厨(东安市场店), 王府井大街138号东安市场B1楼(近新东安APM), 餐饮服务;中餐厅;特色/地方风味餐厅, 116.405278,39.912128, 116.411520,39.913530, 116.417909,39.919813
东悦名厨咖啡厅, 朝阳门北大街1号新保利大厦1层(近港澳大厦), 餐饮服务;咖啡厅;咖啡厅, 116.426636,39.931310, 116.432855,39.932695, 116.439354,39.938637
简约山城小厨, 安德路58附近, 餐饮服务;中餐厅;中餐厅, 116.387850,39.950020, 116.394098,39.951424, 116.400476,39.957754
天厨职业技能培训学校, 安定门内东公街9号, 生活服务;生活服务场所;生活服务场所, 116.400519,39.940374, 116.406766,39.941779, 116.413138,39.948101
面香小厨, 幸福大街57号(红剧场对面)(近天坛饭店), 餐饮服务;快餐厅;快餐厅, 116.424894,39.884555, 116.431110,39.885940, 116.437630,39.891924
积香厨羊蝎子, 东门仓胡同, 餐饮服务;中餐厅;中餐厅, 116.425610,39.928699, 116.431830,39.930085, 116.438323,39.936045
小谷厨房, 东长安街33号北京饭店A座1层, 餐饮服务;中餐厅;四川菜(川菜), 116.404473,39.907708, 116.410714,39.909111, 116.417104,39.915404
渔湘家厨, 东四大街礼士胡同, 餐饮服务;餐饮相关场所;餐饮相关, 116.411352,39.920503, 116.417590,39.921903, 116.424000,39.928108
江南笑厨, 东四北大街138号, 餐饮服务;中餐厅;浙江菜, 116.411065,39.933777, 116.417305,39.935177, 116.423713,39.941386
雏牧香, 朝阳门内大街288号华玺大厦1楼, 餐饮服务;中餐厅;中餐厅, 116.413989,39.922815, 116.420225,39.924213, 116.426648,39.930378
北京雏菊财务顾问有限公司, 东长安街10号长安大厦501, 公司企业;公司;公司, 116.402812,39.905952, 116.409054,39.907355, 116.415440,39.913663
美国雏菊基金北京代表处, 东长安街10号长安大厦501, 政府机构及社会团体;社会团体;慈善机构, 116.402815,39.905951, 116.409057,39.907354, 116.415443,39.913662
除夕宴, 和平里北街, 餐饮服务;中餐厅;中餐厅, 116.423451,39.957686, 116.429678,39.959076, 116.436175,39.965082
楚缘会馆, 国瑞西路12, 餐饮服务;中餐厅;广东菜(粤菜), 116.414791,39.897618, 116.421023,39.899014, 116.427470,39.905173
